# Station: FINO2
# Parameter: winddirection_vane_51m_0deg
# Unit: degree
# Titles:
Time	Value	Deviation	Quality
# Data:
2020-10-06 05:05:00	210	-99.999	2
2020-10-06 05:15:00	212	-99.999	2
2020-10-06 05:25:00	210	-99.999	2
2020-10-06 05:35:00	211	-99.999	2
2020-10-06 05:45:00	212	-99.999	2
2020-10-06 05:55:00	206	-99.999	2
2020-10-06 06:05:00	207	-99.999	2
2020-10-06 06:15:00	210	-99.999	2
2020-10-06 06:25:00	210	-99.999	2
2020-10-06 06:35:00	200	-99.999	2
2020-10-06 06:45:00	203	-99.999	2
2020-10-06 06:55:00	210	-99.999	2
2020-10-06 07:05:00	208	-99.999	2
2020-10-06 07:15:00	202	-99.999	2
2020-10-06 07:25:00	199	-99.999	2
2020-10-06 07:35:00	195	-99.999	2
2020-10-06 07:45:00	199	-99.999	2
2020-10-06 07:55:00	197	-99.999	2
2020-10-06 08:05:00	193	-99.999	2
2020-10-06 08:15:00	192	-99.999	2
2020-10-06 08:25:00	193	-99.999	2
2020-10-06 08:35:00	193	-99.999	2
2020-10-06 08:45:00	190	-99.999	2
2020-10-06 08:55:00	191	-99.999	2
2020-10-06 09:05:00	194	-99.999	2
2020-10-06 09:15:00	193	-99.999	2
2020-10-06 09:25:00	191	-99.999	2
2020-10-06 09:35:00	190	-99.999	2
2020-10-06 09:45:00	188	-99.999	2
2020-10-06 09:55:00	183	-99.999	2
2020-10-06 10:05:00	184	-99.999	2
2020-10-06 10:15:00	183	-99.999	2
2020-10-06 10:25:00	193	-99.999	2
2020-10-06 10:35:00	192	-99.999	2
2020-10-06 10:45:00	192	-99.999	2
2020-10-06 10:55:00	190	-99.999	2
2020-10-06 11:05:00	196	-99.999	2
2020-10-06 11:15:00	197	-99.999	2
2020-10-06 11:25:00	190	-99.999	2
2020-10-06 11:35:00	190	-99.999	2
2020-10-06 11:45:00	196	-99.999	2
2020-10-06 11:55:00	199	-99.999	2
2020-10-06 12:05:00	196	-99.999	2
2020-10-06 12:15:00	193	-99.999	2
2020-10-06 12:25:00	194	-99.999	2
2020-10-06 12:35:00	198	-99.999	2
2020-10-06 12:45:00	199	-99.999	2
2020-10-06 12:55:00	200	-99.999	2
2020-10-06 13:05:00	201	-99.999	2
2020-10-06 13:15:00	204	-99.999	2
2020-10-06 13:25:00	201	-99.999	2
2020-10-06 13:35:00	205	-99.999	2
2020-10-06 13:45:00	205	-99.999	2
2020-10-06 13:55:00	209	-99.999	2
2020-10-06 14:05:00	207	-99.999	2
2020-10-06 14:15:00	207	-99.999	2
2020-10-06 14:25:00	206	-99.999	2
2020-10-06 14:35:00	206	-99.999	2
2020-10-06 14:45:00	205	-99.999	2
2020-10-06 14:55:00	207	-99.999	2
2020-10-06 15:05:00	205	-99.999	2
2020-10-06 15:15:00	204	-99.999	2
2020-10-06 15:25:00	201	-99.999	2
2020-10-06 15:35:00	201	-99.999	2
2020-10-06 15:45:00	199	-99.999	2
2020-10-06 15:55:00	197	-99.999	2
2020-10-06 16:05:00	198	-99.999	2
2020-10-06 16:15:00	198	-99.999	2
2020-10-06 16:25:00	195	-99.999	2
2020-10-06 16:35:00	196	-99.999	2
2020-10-06 16:45:00	194	-99.999	2
2020-10-06 16:55:00	190	-99.999	2
2020-10-06 17:05:00	192	-99.999	2
2020-10-06 17:15:00	191	-99.999	2
2020-10-06 17:25:00	189	-99.999	2
2020-10-06 17:35:00	187	-99.999	2
2020-10-06 17:45:00	187	-99.999	2
2020-10-06 17:55:00	184	-99.999	2
2020-10-06 18:05:00	183	-99.999	2
2020-10-06 18:15:00	184	-99.999	2
2020-10-06 18:25:00	186	-99.999	2
2020-10-06 18:35:00	184	-99.999	2
2020-10-06 18:45:00	181	-99.999	2
2020-10-06 18:55:00	182	-99.999	2
2020-10-06 19:05:00	186	-99.999	2
2020-10-06 19:15:00	186	-99.999	2
2020-10-06 19:25:00	184	-99.999	2
2020-10-06 19:35:00	182	-99.999	2
2020-10-06 19:45:00	187	-99.999	2
2020-10-06 19:55:00	183	-99.999	2
2020-10-06 20:05:00	183	-99.999	2
2020-10-06 20:15:00	184	-99.999	2
2020-10-06 20:25:00	187	-99.999	2
2020-10-06 20:35:00	188	-99.999	2
2020-10-06 20:45:00	189	-99.999	2
2020-10-06 20:55:00	192	-99.999	2
2020-10-06 21:05:00	195	-99.999	2
2020-10-06 21:15:00	196	-99.999	2
2020-10-06 21:25:00	193	-99.999	2
2020-10-06 21:35:00	197	-99.999	2
2020-10-06 21:45:00	195	-99.999	2
2020-10-06 21:55:00	196	-99.999	2
2020-10-06 22:05:00	194	-99.999	2
2020-10-06 22:15:00	196	-99.999	2
2020-10-06 22:25:00	195	-99.999	2
2020-10-06 22:35:00	196	-99.999	2
2020-10-06 22:45:00	196	-99.999	2
2020-10-06 22:55:00	191	-99.999	2
2020-10-06 23:05:00	193	-99.999	2
2020-10-06 23:15:00	191	-99.999	2
2020-10-06 23:25:00	190	-99.999	2
2020-10-06 23:35:00	187	-99.999	2
2020-10-06 23:45:00	190	-99.999	2
2020-10-06 23:55:00	193	-99.999	2
2020-10-07 00:05:00	194	-99.999	2
2020-10-07 00:15:00	194	-99.999	2
2020-10-07 00:25:00	190	-99.999	2
2020-10-07 00:35:00	196	-99.999	2
2020-10-07 00:45:00	196	-99.999	2
2020-10-07 00:55:00	197	-99.999	2
2020-10-07 01:05:00	198	-99.999	2
2020-10-07 01:15:00	200	-99.999	2
2020-10-07 01:25:00	201	-99.999	2
2020-10-07 01:35:00	203	-99.999	2
2020-10-07 01:45:00	202	-99.999	2
2020-10-07 01:55:00	204	-99.999	2
2020-10-07 02:05:00	200	-99.999	2
2020-10-07 02:15:00	200	-99.999	2
2020-10-07 02:25:00	204	-99.999	2
2020-10-07 02:35:00	201	-99.999	2
2020-10-07 02:45:00	202	-99.999	2
2020-10-07 02:55:00	207	-99.999	2
2020-10-07 03:05:00	203	-99.999	2
2020-10-07 03:15:00	203	-99.999	6
2020-10-07 03:25:00	203	-99.999	6
2020-10-07 03:35:00	200	-99.999	2
2020-10-07 03:45:00	207	-99.999	2
2020-10-07 03:55:00	207	-99.999	2
2020-10-07 04:05:00	204	-99.999	2
2020-10-07 04:15:00	206	-99.999	2
2020-10-07 04:25:00	213	-99.999	2
2020-10-07 04:35:00	210	-99.999	2
2020-10-07 04:45:00	214	-99.999	2
2020-10-07 04:55:00	214	-99.999	2
2020-10-07 05:05:00	211	-99.999	2
2020-10-07 05:15:00	215	-99.999	2
2020-10-07 05:25:00	222	-99.999	2
2020-10-07 05:35:00	219	-99.999	2
2020-10-07 05:45:00	216	-99.999	2
2020-10-07 05:55:00	213	-99.999	2
2020-10-07 06:05:00	214	-99.999	2
2020-10-07 06:15:00	212	-99.999	2
